destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Cambodia;;;;;;;;;;;;229;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;2998;229;;;;;;;;;;;;;85;;;;;;;;;;;;;;;;;543;;;;;;76;;;;;;;;;;;;;;;;;187;208;;;;;;30;;246;;;;;;;513;;;;;;;;;;;339;;;;;;;;;;;;;;;;;102;;;89;59;;;;;;;;;;81;;;;;;301;;;;;110;;;;59;;;;;;;;;;;;;;;242;;;;;;;;;93;;;;;;;;;60844;;;;;;;;;;;;;;;182;;386;;;;;;71963;;;;;
Cameroon;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;22359;6205;20571;114;15;2446;139;2313;13698;1828;600;18729;22161;1074;1273;1327;22310;14862;4363;20211;1382;507;1912;35;2397;;25945;188;13327;119;4338;9449;322;2323;322;18784;2278;;89;173;614;;24970;412162;237754;6805;17942;40;282;10;2529;1723;39628;5269;;4318;16308;109;9934;17972;496;2798;5106;11261;36444;38826;15;4779;6369;14208;;30;22553;14148;74561;50;144;426;233;773;175979;16823;253;75794;64;8890;347;59;13960;1322;50;83357;53390;;4462;50236;446;319138;10356;74284;26401;25960;;16625;315058;120632;26004;5106;3779;20447;40;9513;600;14178;7651;67856;94;679;2481;55;6854;525;1932;391;21280;10;831;9379;40;287;149;6611;0;42332;20;109;129;0;610;25727;881;3724;302;0;1134;117329;114;9384;9444;203;10326;;;6319;555;82440;10;2495;297;4972;17932;236877;180074;154283;258;1089;81955;2358;64;60745;50335;2634;20;2471;3214;372;8751;64;10;20;9840;1798;0;1035;1010;9543;;10617;9280;35;20146;36949;;10554;90795;5572;7403;831;164;7468;20621;15827;114;8687;7265;40;743;;104;64523;5418;17605;109;10;10;10924;52484;6517;608742;19675;255952;35;6240;1505;20;7958;148701;25;;1050;2234;4051
Cayman Islands;;;;;;;;;14;;;78;53;;191;;;210;;14;361;;35;;;;;;74;;;;;;;;;1399;;;;16;;;;;236;;;;286;;;757;14;;;;;20;;;69;;;;;;;;;;;12;41;;;;;;141;;;;;18;;;;;;199;20;;781;;;145;;12;;260;;14;95;7454;23;;;38;;;;;;;;;;;;;;;20;;;;;;;;;43;;;;;;;;;;;;41;;59;774;30;12;;;;;115;;141;;;16;112;;;50;;;;;;;;;;12;;33;;;;;;;;;;;;;;;41;;30;;;;;;;83;;;57;;;;;;365;;;;;;;;;2143;16;1829;;;;;38;;;;;12;20
Central African Republic;;;;;;;;;;;;16;32;;;;;;;;;;;;;;;;0;;;;;;;;;281;;;15183;;;;;;;;;;;;;;;11;;;26065;3;;;;;58;;;;;;;;;;14506;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;;101;;;;;;;;;;;;;;;;;;;;;;457;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;207;;;;;;;;;111;;;;;;;;;66;;;80;0;;;;29587;;;18;220;;;;;;13;;;;;10;;;;;;;;;831;;;;;;;;;;;
Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36353;;;9463;;;;;;;;;839;;;;;;;;;;301;;;;;;;;;;;;;;;;1039;;;343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1286;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3066;17386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Channel Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;875;;;;;;;;;;;;;;;;;;;;;;;;;;;1731;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56856;;;;;;;;;;;;;
Chile;15;25;44;;9;55;15;12;45770;10;4;976;523;2;1;2;6;4;6;827;2;1;5;4;10568;;11;5;6886;0;0;91;1;1;1;4;6;1809;1;2;17;;;2258;51;9;3913;1;12;2;455;9;374;2984;;12;144;6;12;228;0;27;271;8857;78;228;2;2;44;5;2;2;9;132;3101;2;6;5;2;2;5359;7;5;191;5;5;7;4;220;4;2;15;45;2;234;323;11;540;85;80;22;127;;529;3699;21;798;83;7;19;;9;4;1;34;201;10;5;22;2;17;15;9;2;25;1;88;15;;5;1;2;1;1700;1;9;1;;1;85;46;1;6;7;9;641;4;139;234;10;20;5;7;335;5;158;2;504;4;1198;35460;197;435;247;181;26;1049;9;2;352;579;5;328;12;60;2;5;;2;11;17;6;;;1;59;;51;40;0;11;244;;8648;7;689;4;2;2;1229;1012;300;2;36;399;;19;;270;10;16;252;2;2;;2;157;5;1646;9;7884;1;2238;4;1;4044;10;1;4;;5;11
China;;;;;;;;;;;;3765;;;;;2895;;;;;;;;;;;;53504;;;;;;;;;6215;;;;;;;3152;12685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6460;28619;;;;;;;;4917;;;;;;;;;;;;;;;;;;4416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3172;;;;;9711;52626;;;;;134524;;;;2135;;;;;;;;;;;;;;;;;;;;;;;;3915;;;;;;;;;10942;;;;;;;;;;;;;;;6561;;19286;;;;;;20235;;;;;
China, Hong Kong Special Administrative Region;;;;;;;;;;;;7506;;;;;366;;;;;;;;;;;;;;;;;;;;;15273;;;;;;1886037;;60316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1811;;;;;;1629;;;;;;;;;;;;;;;;;14864;111117;;;574;;;530;;11711;;;;;;;;;;;;;;;;;;12609;;;;;;;;;;;;;;;;;;;;7706;842;;1856;;;;;;;;6237;;;;;;97347;;90;;;3989;;;;72;;;;;;;;;;;;;;;8156;;;;;;;;331;646;;;;;;600;;;15845;;;;;;;;;;;;;;;14585;;13796;;;;;;9023;;;;;
China, Macao Special Administrative Region;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199200;15019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6534;;1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1142;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;101;47;20;;40;47;37;35;2582;;268;191;212;;;;;;;370;;;;;671;;;;1889;;;70;;;;;;780;;;;;1761;1551;30;;;;;;822;;49;1454;79;;64;145;;77;;43;338;11964;139;315;;;18;;;;;46;1797;;;;;;2230;;;115;;;;;346;;;16;99;;286;133;;114;73;87;32;104;;467;2470;66;576;180;;;;22;;;16;1020;;;;;39;20;;;;;;;;;;;;2236;;;;;;65;;;;;;341;;46;479;;40;;;67;;37;;1858;;201;3788;72;312;109;455;;201;;;281;542;;;;;;;;;;72;;;;;;20;;25;;;47;;5608;;;;;;161;605;502;;;;;;;;39;;51;;;;;197;36;1026;;15068;;364;;180;37200;;;;;;
Comoros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;532;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;;;10595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;;;;;;
Congo;;;;;;31100;;;;;;;;;;;;;;;;7549;;;;;;;;;;;;;;;5614;;;16245;5249;;;459;;;;;;;;;;266;;;;;183780;;;;;;;;786;;;;;;;;5127;;;1572;;;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;580;;;;;;;;;;;16851;;;;1564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;716;;;;;;;1280;12480;;;;;;;;;;6591;;;;;;;;;;;;;;;;;;;;;;;;;1211;;;;;;;;;;;;;;83;;;;;;;;;;;
Cook Islands;;;;;;;;;;;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;2319;;;;10;;;;;;;11;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;18;;;;;;;;;;;
Costa Rica;3;3;9;;;2;;;1120;5;25;51;98;2;9;1;2;8;4;223;106;1;8;3;282;;;;415;;;54;;;;2;7;1074;6;4;;85;1327;222;2506;1;5995;;6;;;2;18;4391;;2;;28;2;49;;4;838;971;8;8857;;;2;1;;;1;17;666;9;;1;;9;1424;1;3;26;6;6;;4;2029;;;21;54;;2994;56;1;42;13;77;11;23;;130;1626;166;216;8;4;6;;;;3;1;68;;;8;3;7;11;2;;3;1;;;;3;;;;2365;;1;11;;3;3;3;9;;;6;448;;13;230085;;2;;;58;2;7;;10438;;63;2887;106;231;59;272;2;193;3;;76;457;1;;1;1;1;1;;;;10;1;;;;6;;17;;;1;44;;1650;1;;1;15;1;104;512;8;;5;20;;;;;27;3;6;;;;7;119;;397;3;9667;5;239;1;;1054;1;;;;;1
C?te d'Ivoire;;;;;;;;;;;;;;;;;;;;;;53643;;;;;;;;;;;1117062;;288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;693;;;66479;;;;;;;;114966;324;;;;;;;;;;;;;;;;;;;;;;;;;;;39011;4526;;;;;;;;395346;;;;9058;;;;;;;;;;;;;;;;;;;51009;35607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21563;;;652;;;;;;;;;;;;;;;;;;;;;;36374;;;;;;;;;;;;;;;;;;;;;;;;;
Croatia;;157;0;;;;;;171;;;753;1461;;;;;;0;197;;;;;0;;430399;;103;;;262;;;;;;413;;;;;87;0;;;0;;;;;;;;;;810;;;27;;;;;0;;;;5;;;;;24;401;;;;;;7773;;;128;;;;;;;;;;;;971;;0;0;0;0;10;;0;1609;;0;0;0;;;;;;21;0;;;0;;17;13;;;;;;;;;;;;15;;;;0;;0;;;;;;241;;55;;;0;;;30;;;;;;;41;0;595;25;;;0;0;;314;0;;;;;;;;;;;;0;;;;;529;20724;;;0;;59;;0;0;;;244;712;0;;;9737;;;;;;;0;;;;;0;;171;;835;;;;;24;;;;;0;
Cuba;;125;53;;;112;;;192;;;;;;;;;;;;;;;;66;;;;;;;153;;;;;;69;;;;;203;339;;;182;;;;;;;;;;210;;;;;;138;69;;;;;;;;;;;169;;;;;;388;;;;101;93;;;79;;;;1065;;;80;;;;;;;;;254;338;;;;;;;;;;64;;;;;;;;;;;;;;;;;;459;;;;;;;;;;;;;;;307;;;;;;;;;95;;;98;;109;;140;;;;;79;2317;;;;;;;;;;;;;;;;;;;;;;;5521;;;;;;;;;;;;;;;;;;;;;;;705;;57;;612;;;;;222;;;;;;
Cura?ao;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;4;126;16;0;;;;;38;534;;1355;161;16;0;49;296;;154;119;0;4;0;;5;;31;4;27;;2;2799;;2;;0;26;684;;7;;;22;728;;;57;;;;2;;38;16;;;307;15;311;77;2;0;5;4;2358;5;;2;13;37;;;2;225;417;0;;;;6950;1181;38;2;10781;;;;;0;0;;;2;;2;157;15;1250;79;547;143;353;;174;219;7;38;201;108;38;;106;11;2;75;1252;;;104;;42;5;4;4;20;;;15;;0;;5;;29;;;;;;29;5;20;2;;26;219;;42;5;4;139;;;91;29;236;;9;;4;15;3277;322;29;2;5;4;428;;2459;5913;0;;;;;0;;;;106;4;1152;4;2;15;;62;7;;5;2258;;71;4491;165;236;2;;415;172;1481;4;119;9;;;;;7;16;278;5;;;9;1490;69;16552;66;1446;;2;33;;29;29;;;7;62;139
Czech Republic;103;88;161;;8;67;;3;152;453;;113;3623;91;;12;16;7;644;372;1;13;1;0;24;;711;1;56;;;2308;3;0;7;8;3;241;;1;4;;15;605;12;;36;1;32;;5;7;835;247;;27;;43;16;64;3;0;3;19;77;7;1;1;31;39;;;4;164;1781;;;0;4;176;4750;21;;889;;0;;;4;11;4;1;11;;1;3053;9;119;43;93;131;33;;69;509;3;95;51;909;21;1;27;75;4;65;101;3;4;49;0;81;8;12;9;7;0;8;4;0;;1;1;;39;;1;279;57;;51;1;1;4;1;8;271;;17;8;3;33;;;48;;45;0;5;1;15;33;17;12165;19;;13;37;403;;5889;6565;7;;3;1;;0;1;1;0;8;15;2363;1;1;7;;140506;128;0;3;76;;84;15;37;33;1;1;104;189;215;32;16;263;1;8;;4;1;77;109;23;;1;8;16397;15;701;9;1033;;17;88;3;23;7208;;8;55;9;11
Democratic People's Republic of Korea;;;;;;;;;;;;127;;;;;97;;;;;;;;;;;;1801;;;;;;;;;209;;;;;;19511;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;217;963;;;;;;;;166;;;;;;;;;;;;;;;;;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;107;;;;;327;1771;;;;;4528;;;;72;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;368;;;;;;;;;;;;;;;221;;649;;;;;;681;;;;;
Democratic Republic of the Congo;;;;;;325733;;;;;;;;;;;;;;;;;;;;;;;;;;;;36692;;;;;;;;;;;;;;;9470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85936;;;;;;;;;;;;;;;;;;;;;118742;;;;16643;;;;;;;;;;;;;;;;;;;24177;;;;;;;;;;;;;;;;
Denmark;2941;84;907;;1;106;;0;965;459;0;1638;1525;95;9;95;398;24;144;1233;5;33;0;9;149;;18844;61;1542;;4;666;21;241;18;129;137;2862;;2;2;;1326;3580;491;0;2040;16;84;1;93;311;579;170;;151;217;258;169;;16;9;77;379;1282;50;;84;460;1081;10636;;21;3826;4238;0;0;5;483;83;28060;965;;1093;12489;7;0;;133;54;31;99;130;;69;1641;5955;4391;633;11483;12988;1153;;1454;3333;132;1323;967;43;996;2;962;2;24;667;12396;40;106;170;11;944;226;22;47;404;2;26;58;0;0;26;110;;461;;7;17;1965;;4881;122;64;37;;118;4835;;545;122;9;558;;;16652;13;10049;;37;7;54;547;3929;10954;681;0;31;8273;67;0;1993;3493;129;;;0;;8;10;0;0;191;81;5891;21;255;379;;121;64;2;11586;984;;2747;8005;0;206;26;40;19772;1922;1304;7;5596;1322;;99;;7;151;723;30089;4;;;941;695;192;14074;792;8596;;204;42;4;389;8651;;;141;342;268
Djibouti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;238;;
Dominica;;;;;;;11;290;;;26;5;;;7;;;95;;;;;;;;;;;;49;;;;;;;;105;;;;;;23;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;45;13;;;;;17;;;;;;23;;;;;108;873;;;;;15;;;;;;;;74;;;;;;;;;;19;;;;;;;;;;;;;;82;;;;;;;;;93;;;;;;;6;;;;;29;;;;;;;;;;;;;;10;;;;;;;;;36;161;;72;;;;;;;;;;;;;;;;;;;;;11;;;;10;;;;;;;;175;;;;;;;;;362;;356;;;;;17;;;;;;
Dominican Republic;;;;;;;170;325;3227;;403;82;1179;;111;26;;;;598;;;11;11;443;;7;;1160;15;;436;;4;4;144;4;4351;;7;4;;2310;4413;;;5737;;;11;1896;;;8335;;;15;;;85;;29;;1160;;447;;;;;;;;55;3083;;;;;;6209;;;115;;;118;;580;;;55;228652;;529;62;;351;;85;7;62;;226;8501;514;1534;;4;;;;;;;876;;;;;;;;;44;;;40;;62;;;;2122;;;;;;26;;;;;;706;;;507;;51;;;82;;203;;854;;75;2432;140;580;195;10708;;669;7;;37;351;;115;93;;48;;;;;29;;220;;;;;;;;;296;;8982;;230;;126;;451;2614;93;;;7;;;;;122;;89;;4;;;148;;710;;11133;576;1985;;;17386;;15;;;;
Ecuador;23;30;20;;;18;;;2239;16;;155;227;;20;;;;;355;;;;;634;;;;1101;;;81;;;;;19;971;;;;;4702;1214;41;;71556;;;;389;;34;1242;;;131;202;;76;;;147;;35;217;;;;;;22;;53;939;;;;14;;1827;16;;30;;;;;179;;;;40;;195;90;;95;27;80;15;83;;216;1595;16;305;30;;;;;;;;184;;;;;;;;;15;;;;;;;;;937;;;;;;20;;;;;;344;;47;163;;21;;;98;;22;;400;;101;5682;52;130;152;208;;336;;;126;620;;;;;;;;;;37;;;;;;;21;;;;51;;3099;;41;;;;145;814;27;;;1;;;;;19;;;;;;;167;;895;;11112;;398;;;3691;20;;;;;
Egypt;154;88;648;;;21;;13;183;118;;344;442;24;11;294;186;;204;411;;27;;;;;46;;96;;50;50;48;27;;;92;464;;43;244;;20;562;;;43;664;55;;;168;76;;;63;148;76;96;221;271;;;9;;155;;388;19;478;;;;182;2089;;;;22;;5649;172;7;934;;;;;7;105;68;;;;;98;;910;2107;111;7793;70;;518;3058;;843;3836;155;101;;2188;46;;;2324;;35;3669;;;;30;21;2063;21;158;;;;114;;;48;;60;11;;;776;13;9;196;;;726;;68;;86;593;;;89;397;452;;;;;;801;278;34;;292;218;46;;177;5477;33;;;;;;;;;5987;311;;15;46;105;;46;;;11540;164;;303;164;56745;9388;;;259;998;5549;95;787;88;;;;;;572;654;35;;;64;125;523;2299;107;4416;;;82;;25;;;;4167;19;25
El Salvador;;;;;;;;;166;;;21;10;;;;6;35;;49;218;;;;44;;;;198;;;;;;;;;249;;;;;207;187;7;;363;;;;818;;;80;;;;;;;;;43;97;;;;;;;;;;;150;;;;;;229;;;;;;;;6212;;;;;;9525;;;10;;14;;12;;68;233;9;35;;;;;;;;;;;;;;;;;;;;;;;;;;;1438;;;;;;;;;;;;35;;;4545;;;;;;;;;354;;15;172;17;;11;58;;114;;;;16;;;;;;;;;;;;;;;;;;;;;;;473;;41;;;;25;51;;;;;;;;;;;;;;;;;;77;;4603;;67;;;179;;;;;;
Equatorial Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1903;;;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;623;;;;;;;;;;;;;;534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;;;;;;620;;;;;;;;;;;;;;;;;;;;;;;;;;;;1663;;;;;;;;;;98;;;;93;;;;;;;;;;;1224;;;;;;;;;;;91;;;;;211;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;217;;;;;;;;;;;;;;343;;;;;;;;;;;;;;;;;896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;414;;;;;;;;;;;;;;;;;;;1775;189;1284;;;;180;;;;;;;;;;;;;;;;;;;1190;;;43;375;;;;;;;;;;;151;168
Estonia;0;;;;;;;;;595;;;;1437;;;;;14756;;;;;;;;;;;;;;;;;;;60;;;;;;124;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;1369;88;;;;;1572;970;;;;;;;;;;;;;;;76;;53;;;;;;;;;;;3808;;;;565;;4289;;;;;;2083;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;496;;;;;870;;;188970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188;;;355;;;;;;;;;;371;;;;24457;;64;;191;;;1082;;;;;;;;
Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;90;;3258;;;;;;;6843;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;132;;;;;;;;;;;;;;;;;;;389419;;131405;;;;18417;;;;;;;;;;;;;;;;;;;192;;;;;;;;;;;;;;127;;
Faeroe Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;3;;;;;;5;;;;;;1;;;43;;;;;;;;;;;;;2528;;;;;;;;;;1;;;;;;;;;;;16;;;;102;;;;;;;;;;;;218;38;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;129;;;;;;;1;20;49;;;;37;;;11;9;;;;;;;;;;;;13;;;;;;;;;1;;;;;;;;59;;;;17;;;;;;;3;;;;;;;;88;;26;;;;;;;;;;;
Falkland Islands (Malvinas);;;;;;;;;39;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;704;;21;;;;;;;;;;;
Fiji;;;;;;;;;;;;1489;;;;;1287;;;;;;;;;;;;;;;;;;;;;;;;;;;833;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1292;;;;;;;;;;;;;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;870;;;;;;;;1456;;;;;;;;;;;;;;;;;;;;;;266;;;;;;;;;;;;634;;;;;;;;;;;;;;;;;;;1199;;;;;;371;;;;528;;;;;;167;;;;;;;
Finland;284;34;377;;1;94;;1;132;19;0;552;262;8;3;3;347;7;32;173;2;1;0;0;44;;200;3;243;;0;421;1;5;4;83;24;993;0;2;3;;183;1783;;;352;2;12;;21;41;104;125;;64;283;1;277;595;2;1;34;45;342;17;0;9;6569;584;;;6;;916;;0;1;169;9;3013;248;;394;;1;;;25;8;3;8;1;1;14;734;101;986;112;1762;2699;168;;391;806;29;538;118;44;180;0;61;2;5;234;249;0;34;61;0;135;27;3;2;188;1;3;18;;;0;22;;129;;2;13;0;;871;18;50;24;;82;615;;72;41;10;245;;;802;2;334;;12;3;6;161;669;987;119;;4;111;13;;593;57502;24;0;1;1;0;2;0;0;0;169;34;0;2;36;50;;14;4;0;3490;175;;655;304;0;0;3;6;23584;517;161;3;1509;19;;12;;1;13;252;1808;4;;0;22;183;30;2297;145;2442;;43;11;0;47;2424;;;19;59;19
