Country;code;immigration_1995;emmigration_1995;immigration_1990;emmigration_1990;immigration;emmigration;sold;population;norm_sold
Samoa;WSM;4410;81492;3124;74861;1286;6631;-5345;170050;-3143
San_Marino;SMR;3554;2467;3203;1425;351;1042;-691;25925;-2665
Sao_Tome_and_Principe;STP;4846;18969;5483;13960;-637;5009;-5646;131679;-4287
Saudi_Arabia;SAU;4950773;130502;4830679;107037;120094;23465;96629;18638790;519
Senegal;SEN;250016;356528;234420;369263;15596;-12735;28331;8690155;327
Serbia;SRB;629705;921141;99189;708804;530516;212337;318179;5118084;6217
Seychelles;SYC;4514;19208;2947;29376;1567;-10168;11735;75304;15584
Sierra_Leone;SLE;104349;456648;221192;60952;-116843;395696;-512539;4303953;-11908
Singapore;SGP;793855;166994;445694;156201;348161;10793;337368;3524506;9573
Sint_Maarten_(Dutch_part);SXM;0;16757;0;14368;0;2389;-2389;31164;-7665
Slovakia;SVK;69064;191995;41183;133461;27881;58534;-30653;5361999;-571
Slovenia;SVN;174358;108666;178032;91652;-3674;17014;-20688;1989872;-1039
Solomon_Islands;SLB;3888;2576;3925;2246;-37;330;-367;359276;-102
Somalia;SOM;18044;898840;460000;846967;-441956;51873;-493829;7491647;-6591
South_Africa;ZAF;953701;400992;1057863;327661;-104162;73331;-177493;41435761;-428
South_Sudan;SSD;0;438044;0;514943;0;-76899;76899;27247916;283
Spain;ESP;1012489;1368318;817573;1449316;194916;-80998;275914;39724050;695
Sri_Lanka;LKA;39215;925014;39935;885836;-720;39178;-39898;18242917;-218
State_of_Palestine;PSE;259733;2274364;265785;1813068;-6052;461296;-467348;2474666;-18885
Sudan;SDN;1019443;745591;1369612;587067;-350169;158524;-508693;24094741;-2111
Suriname;SUR;13070;193386;10581;179657;2489;13729;-11240;441851;-2543
Swaziland;SWZ;23015;30347;67820;35184;-44805;-4837;-39968;926836;-4312
Sweden;SWE;854643;225386;720175;207067;134468;18319;116149;8826939;1316
Switzerland;CHE;1312818;335830;1162183;323233;150635;12597;138038;7040687;1961
Syrian_Arab_Republic;SYR;292985;659937;248732;620868;44253;39069;5184;14345491;37
Tajikistan;TJK;347871;525513;428236;536252;-80365;-10739;-69626;5764806;-1207
Thailand;THA;809682;409772;528671;309088;281011;100684;180327;59467272;304
The_former_Yugoslav_Republic_of_Macedonia;MKD;107917;490666;93617;429555;14300;61111;-46811;50454;-92779
Timor-Leste;TLS;8570;79837;7892;11299;678;68538;-67860;844333;-8037
Togo;TGO;90722;306378;74051;193369;16671;113009;-96338;4226293;-2279
Tonga;TON;921;37878;820;32666;101;5212;-5111;95972;-5325
Trinidad_and_Tobago;TTO;42344;246041;46645;197522;-4301;48519;-52820;1254200;-4211
Tunisia;TUN;31851;467561;32025;453933;-174;13628;-13802;9125400;-151
Turkey;TUR;1071547;2674497;979704;2530619;91843;143878;-52035;58486453;-88
Turkmenistan;TKM;270049;243505;304375;259991;-34326;-16486;-17840;4207841;-423
Turks_and_Caicos_Islands;TCA;5901;1536;4481;2311;1420;-775;2195;16221;13532
Tuvalu;TUV;197;2748;239;2360;-42;388;-430;9298;-4624
Uganda;UGA;613212;469016;536580;311490;76632;157526;-80894;20413157;-396
Ukraine;UKR;5774245;5613641;6481438;5549477;-707193;64164;-771357;51512800;-1497
United_Arab_Emirates;ARE;1781444;97937;1287556;79540;493888;18397;475491;2415099;19689
United_Kingdom_of_Great_Britain_and_Northern_Ireland;GBR;4132002;3702760;3641645;3795662;490357;-92902;583259;58019030;1006
United_Republic_of_Tanzania;TZA;1100291;231767;569603;204272;530688;27495;503193;29649128;1698
United_States_of_America;USA;25891540;1836089;20315256;1736288;5576284;99801;5476483;266278000;2057
United_States_Virgin_Islands;VIR;48707;3153;44012;2362;4695;791;3904;107818;3621
Uruguay;URY;86635;233018;91866;237258;-5231;-4240;-991;3224275;-30
Uzbekistan;UZB;1433906;1545714;1577433;1429956;-143527;115758;-259285;22785000;-1137
Vanuatu;VUT;1451;5814;1565;5074;-114;740;-854;168161;-507
Venezuela_(Bolivarian_Republic_of);VEN;1018672;240494;1024726;185888;-6054;54606;-60660;21931087;-276
Viet_Nam;VNM;49803;1526892;27398;1235348;22405;291544;-269139;74910462;-359
Yemen;YEM;104345;485796;90251;455442;14094;30354;-16260;14913313;-109
Zambia;ZMB;232452;140354;269896;83210;-37444;57144;-94588;9096608;-1039
Zimbabwe;ZWE;393451;252379;598946;176697;-205495;75682;-281177;11410721;-2464
