Country,code,immigration_2000,emmigration_2000,immigration_1995,emmigration_1995,immigration,emmigration,sold,population,norm_sold,country_emm,max_emm,country_imm,max_imm
Isle_of_Man,IMN,37337,7367,35239,9003,2098,-1636,3734,76942,4854,United Kingdom of Great Britain and Northern Ireland,6642,United Kingdom of Great Britain and Northern Ireland,34442
Israel,ISR,1532124,299659,1554408,286229,-22284,13430,-35714,6289000,-567,United States of America,109719,Morocco,166953
Italy,ITA,2121688,3103588,1774954,3248808,346734,-145220,491954,56942108,864,France,555528,Morocco,285569
Jamaica,JAM,22292,844604,20208,705014,2084,139590,-137506,2654698,-5179,United States of America,553827,United States of America,6668
Japan,JPN,1648891,702688,1358965,646478,289926,56210,233716,126843000,185,United States of America,347539,Republic of Korea,635317
Jordan,JOR,1925431,367275,1534882,337737,390549,29538,361011,5122495,7048,Saudi Arabia,95064,State of Palestine,1428251
Kazakhstan,KAZ,2871300,3566599,3245250,3309533,-373950,257066,-631016,14883626,-4239,Russian Federation,2571681,Russian Federation,2032883
Kenya,KEN,627427,307166,511762,266282,115665,40884,74781,31964557,234,United Kingdom of Great Britain and Northern Ireland,125340,Uganda,299871
Kiribati,KIR,1804,4047,1746,4257,58,-210,268,84405,318,Nauru,1006,Nauru,1055
Kuwait,KWT,1086284,112788,893634,96404,192650,16384,176266,2045123,8619,United Arab Emirates,21687,India,418664
Kyrgyzstan,KGZ,380737,568216,498613,552302,-117876,15914,-133790,4898400,-2731,Russian Federation,461140,Russian Federation,215735
Lao_People's_Democratic_Republic,LAO,17760,643221,20911,536903,-3151,106318,-109469,5323701,-2056,Thailand,289386,Viet Nam,11611
Latvia,LVA,430178,238831,538093,228925,-107915,9906,-117821,2367550,-4976,Russian Federation,101991,Russian Federation,234753
Lebanon,LBN,689524,557494,604819,528875,84705,28619,56086,3842774,1460,United States of America,105910,State of Palestine,467005
Lesotho,LSO,3699,120497,4024,137829,-325,-17332,17007,2032805,837,South Africa,111888,South Africa,2441
Liberia,LBR,135072,262091,189728,547873,-54656,-285782,231126,2848447,8115,Guinea,138141,Sierra Leone,71154
Libya,LBY,567436,78675,508041,77069,59395,1606,57789,5357893,1079,Israel,19423,State of Palestine,210540
Liechtenstein,LIE,15389,2711,13250,3067,2139,-356,2495,33184,7519,Switzerland,1715,Switzerland,4823
Lithuania,LTU,203547,350501,259880,344264,-56333,6237,-62570,3499536,-1787,Russian Federation,85756,Russian Federation,95271
Luxembourg,LUX,139438,32205,125818,29792,13620,2413,11207,436300,2569,France,8534,Portugal,50254
Macao,MAC,223878,101497,209502,97896,14376,3601,10775,427772,2519,Hong Kong,60316,China,199200
Madagascar,MDG,17227,76309,15499,66542,1728,9767,-8039,15766806,-50,France,41245,Comoros,8050
Malawi,MWI,181962,184770,189007,139034,-7045,45736,-52781,11148751,-473,Zimbabwe,92989,Mozambique,58576
Malaysia,MYS,1166948,1202246,843822,862043,323126,340203,-17077,23194252,-73,Singapore,710434,Indonesia,634380
Maldives,MDV,26021,1196,17826,1692,8195,-496,8691,279396,3111,Sri Lanka,370,India,11427
Mali,MLI,138028,722660,157515,789125,-19487,-66465,46978,10946448,430,Cote d'Ivoire,395346,Cote d'Ivoire,54884
Malta,MLT,21358,104661,17594,109535,3764,-4874,8638,390087,2215,Australia,52620,United Kingdom of Great Britain and Northern Ireland,7313
Marshall_Islands,MHL,1684,6844,1305,4058,379,2786,-2407,50754,-4742,United States of America,6318,United States of America,856
Mauritania,MRT,55481,105587,88054,151363,-32573,-45776,13203,2630217,502,Senegal,59956,Senegal,37730
Mexico,MEX,536112,9329236,456661,6723432,79451,2605804,-2526353,98899845,-2554,United States of America,9177487,Palau,318
Micronesia_(Federated_States_of),FSM,1052,16759,1127,11994,-75,4765,-4840,107405,-4506,United States of America,7088,France,7134
Monaco,MCO,11614,5031,11581,4719,33,312,-279,32148,-867,France,3494,Russian Federation,3362
Mongolia,MNG,7368,30535,6653,27493,715,3042,-2327,2397417,-97,Russian Federation,23503,Albania,0
