destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;;75;;2740;;;;;;;5756;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111;;;;;;;;;;;;;;;;;;;327545;;110527;;;;15491;;;;;;;;;;;;;;;;;;;161;;;;;;;;;;;;;;107;;
Faeroe Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;10;;;;;;8;;;;;;7;;;43;;;;;;25;;;;;;;3137;;;;;;;;;;5;;;;;;;;;;;20;5;;;134;;;;;;;;;;;;241;56;3;;;;;;;;;;;2;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;2;33;69;;;;42;;;48;30;;;;;;;;;;;;35;;;;;;;;;6;;;;;;;;58;;;;47;;;;;;;7;;;;;;;;86;;31;;;;;;;;;;;
Falkland Islands (Malvinas);;;;;;;;;55;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73;;;;;;;;;;;;;;;;;;;;;;;;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;650;;30;;;;;;;;;;;
Fiji;;;;;;;;;;;;1706;;;;;1235;;;;;;;;;;;;;;;;;;;;;;;;;;;836;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1169;;;;;;;;;;;;;701;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;548;;;;;;;;1650;;;;;;;;;;;;;;;;;;;;;;267;;;;;;;;;;;;636;;;;;;;;;;;;;;;;;;;1204;;;;;;372;;;;308;;;;;;167;;;;;;;
Finland;1510;114;542;;2;228;;1;218;47;0;779;399;48;6;10;881;10;131;323;2;4;0;2;89;;406;8;635;;0;793;4;24;6;158;286;1257;0;2;5;;284;4573;;;623;3;55;;38;76;139;242;;96;444;2;684;750;4;2;81;103;588;34;5;38;16373;1080;;;7;;1471;;0;4;309;23;4605;605;;563;;1;;;46;32;5;14;7;1;27;1185;129;2563;230;3040;5101;311;;566;1340;44;870;181;108;559;0;87;19;13;666;382;0;71;106;0;390;53;8;8;289;1;4;25;;;4;31;;336;;3;30;2;;1301;39;507;49;;635;973;;129;66;14;848;;;1197;4;866;;17;6;10;293;1324;1939;246;;9;251;54;;1164;58429;137;0;1;2;0;3;2;0;0;212;81;43;4;74;103;;68;16;2;5970;413;;1191;514;15;0;3;8;28099;736;298;20;4286;62;;33;;1;20;417;3594;12;;1;80;593;56;3528;296;3358;;64;50;1;90;3560;;;28;107;42
France;3409;5747;1337210;12;980;14835;123;103;11825;12278;67;5406;12167;2560;42;143;3164;69;2388;138343;12;17643;96;44;2106;87;11323;48;42128;;89;13222;6972;1493;18180;58654;63768;22661;;14600;6219;;13011;70951;1415;67;22163;30384;57496;6;640;75481;9031;3744;;937;4616;80;49330;6496;6015;7416;4454;3500;26659;1418;347;270;786;5594;3;;44;3613;;;;17241;1546;5304;222726;5389;20;11470;8;;;;2817;21387;2476;4226;67078;;453;9674;398;41118;4242;20643;4953;8596;12;8559;373839;732;18116;1173;1897;1328;12;651;454;41673;1852;42108;60;645;1800;32;2048;12062;106558;133;2262;8;57153;472;;;12537;38979;;9332;2;16581;687;1147;18;832641;1036;369;103;;1007;37519;;1566;472;4586;3986;;;3173;89;16544;;385;50;699;9822;10645;101024;586242;51;64;17773;3891;;43381;34476;4950;8;114;4341;;45;5;278;757;2165;99224;17288;538;975;2189;;3290;2853;6;1464;4182;;306067;34159;865;2075;22274;26;9125;84249;15414;146;14139;3711;6;19915;;50;417;362087;229714;156;1;6;343;12020;641;143491;526;47875;23;2114;728;678;5493;118704;;37;342;372;475
French Guiana;;;88;;;;;;;;;;;;;;;;;137;;;;;;;;;11989;;;;;;;;;;;;;;;1236;;;;;;;;;;;;;;;;;;571;;;;;;;;;;;;;20818;;;;;;;;;;;;2140;;;;;2870;14450;;;;;;;;;;;;125;;;;;;;;;848;;;;;;;;;;;;;;;;4685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;399;;;;;;;;374;;;;;;1327;;;;;;;;;;;;;;;;;;;;;;;20487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
French Polynesia;;;743;;;;;;;;;77;;;;;;;;;;;;;;;;;;;;;;;;;;140;;;;;;671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;22395;;;;;;392;;;;;;;;;;;;;;;;;42;18;;;;;;162;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2232;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88;;;;;;;131;;;;;;;;;;;;;;;;;;92;;457;;;;230;;;36;;;;
Gabon;;;57;;;572;;;;;;;;;;;;;;259;;26961;;;;;;;;;;;3611;87;;;26161;151;;;2337;;;179;;;;;8428;;;1753;;;;;;83;4600;;;;;;;;44903;;;;;;;;8300;;;;;;46;3287;;;;;;;;2571;;;;;;;;;;;;;;8;;;17;;;;;;;;;1292;;;;;;;;;;;28488;;;;;;;;;;;;;369;;;;;;;;;;;12350;;;;;;;;;;;;;;;;101;;;;;109;;;;;;;;3361;;15754;;;;;;;;;;7;;;;;;;;;;15;;;;;11888;;;;116;;;;;;;;;;284;;;;;;;;;;;
Gambia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38128;11643;;;;;;;;;;;;;;;;;;;;;;;;;;;968;;;;;;;;;8737;;;;3076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;111877;;;2201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Georgia;;;;;;;;;;2339;;;;4563;;;;;9825;;;;;;;;;;;;;;;;;;;;;;;;;248;;;;;;;;;;;;;;1163;;;;;;;;;;;552;;;;;;;;;;;;2415;;;;;;;;;;;;;;;;;;;;;;;;;;;;12744;;;;2034;;880;;;;;;2526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2975;;;;291;2639;;416;110780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;755;977;;;;26802;;;;;;;8400;;;;;;;;
Germany;83056;14418;19368;;;;;;11326;11196;;10448;215244;15592;;;6583;;22268;28247;;1590;;;3427;;172133;;42551;;;67518;1762;553;;1735;14118;15343;;;302;;10845;74072;;;14982;;2701;;1295;3328;206051;10648;;1362;313137;2260;11416;22687;;;7682;5872;18065;885;;9646;10243;17456;;;;15560;123725;;;373;3443;16302;;25613;;280579;;;;;1338;3042;;;969;;975;127950;1621;50014;14910;118640;85046;13081;;11678;449376;1738;31628;11400;735028;9552;;;56931;2289;21340;63274;;2510;3510;230;32346;13013;1093;;4675;;1106;536;;;;;;11763;;;;21579;;94164;;1393;;;2849;120873;;2287;1042;864;20307;;;7944;;42143;;489;;2873;12953;39018;1268243;112227;;;24816;19140;;446724;974140;1033;;;;;;;;;2184;3300;350205;;4186;1910;;32938;32287;;7432;11408;;111184;47027;;;;;18785;59098;38223;18032;55022;26945;;12527;;;670;31644;1625231;4961;;;1897;203852;;105710;499;121415;;2015;28028;;5874;95265;;;2245;637;
Ghana;;;11;;;;;;;;;27;;;;;;;;;;14044;;;;;;;11;;;;65321;;;;96;231;;;13;;;190;;;;;;;;25762;;;;;;;25;;;;;;32;;;;;25;;;;;183;;;;30;;;;;;;;;;;115;;;;;;;;712;;;;;;38;193;;46;;;13;;;;;;823;;50459;;;;;;;;;5631;;;;14;;;;;;;;;;;;;;;205;;;;6629;23321;;;;;73;;;;;;31;53;;;;;;;;73;420;;;;;;;;;;83;;;3354;;;;;;;;;;24;;28;;;;163;58;;;;;86196;;;;;;;;;;;;1524;10;685;;;;;;;;;;;
Gibraltar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2010;;;;;;;;;;;;;;;;;;;;;;;;;4462;;;;;;;;;;;;;
Greece;3401;423598;722;7;4;14;14;22;641;11750;47;20467;2267;453;22;25;7361;10;1027;4933;4;9;7;3;21;;407;6;2180;5;;56513;44;137;24;16;453;12627;5;247;22;3;383;2015;26;;397;38;1144;3;33;117;397;284;;22208;4110;23;715;867;32;209;374;66;30642;43;1;193;96;2479;2;;5;815;6696;2;13;27;48;78132;108685;507;9;;6;4;10;2;32;105;4;12;36;4;42;1669;44;8679;356;1613;5303;549;9;698;6159;39;538;822;25878;415;;145;386;24;208;2152;1;27;621;8;362;120;137;;56;4;24;96;0;;63;46;;383;;34;10;;41;1458;66;21;8;;33;3442;;502;97;50;2396;;2;492;4;21381;102;149;3;69;233;7359;15669;311;10;570;209;8283;3;36759;63706;112;9;4;;21;61;233;5;6;446;350;4768;29;219;77;;645;120;10;412;6279;;1085;860;708;1650;6;18;5459;3657;6597;83;354;1573;114;14;1;;14;471;55051;108;;44;118;18198;83;15618;401;23058;8;117;6778;39;954;220;14;2;27;242;440
Greenland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;24;;;;;;6;;;;;;;;;;;;;;;;5834;;;;;;;;;;;194;;;9;11;;;;;;63;;;;;;;;;;;;;;;;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;;;;;;;;10;6;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;;;;64;;;;;;;;;;;;;;;16;;28;;;;;;;;;;;
Grenada;;;;;;;;36;;;;;;;28;;;168;;;;;;;;;;;;13;;;;;;;;215;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;;;;;;;;;;;;;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;154;;357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2075;;;;;;;;;;;;665;;;;322;;;;;;
Guadeloupe;;;137;;;;;;;;;;;;;;;;;378;;;;;;;;;52;;;;;;;;;404;;;;;;;;;;;;;;;;;;;;;;;;4932;1253;;;;;;;;;;;;51403;1089;;;;;256;;;;;;;;;;;153;11623;;;;;163;;;;;;;294;;;;;;;;;;;224;;;;;;;;;;;;;;8636;;;;;;;;;;;;;;;;652;;;;;;;;;;;;;;;;;;380;;;;;364;;;;;;336;;;;;;;;;;;;;;;;;;;;;;;30;;;182;241;;;;;;;;;;;;;;;;;340;;404;;;;;;;;;;;
Guam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2264;;;;;;;;;;;;;;;;;;;;;;241;;;;;;8753;;;;;;;;;;;;;;;;;;2187;;;;1386;;;;;30827;;;2054;;2964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18719;;;;;;351;;;;;
Guatemala;;;;;;;;;416;;;53;;;;;;;;;688;;;;102;;;;180;;;;;;;;;298;;;;;227;493;;;868;;;;872;;;496;;;;;;;;;82;125;24;14364;;;;;;;;;194;15;;;;;480;;;;299;;;;;;;;11;;6294;;;;30;14;;;;99;276;;111;;;;;;;;;19;;;;;;;;;;;;;;;;;;13160;;;;;;;;;;;;106;;;6424;;;;;;;20;;226;;45;343;50;;21;77;;1340;;;;;;;;;;;;;;24;;;;;;;;;;;;;991;;35;;;;36;115;59;;;;;;;;;;19;;;;;;;168;;6473;;106;;;211;;;;;;
Guinea;;;;;;;;;;;;;;;;;;;;467;;5346;;;;;;;560;;;;1088;;220;;;673;;;;;;302;;;;;;;;7307;;136;;;;;;;;;;;;;;;;;;;;;3733;;;;1842;;1928;3039;;;;;;;;;6364;;;;;;;;;136;;;;;229;;60;;;;;;;;;1935;;98658;;;;;;;;;35367;;;;870;;;;;;;;;;;;;;;;;;;3166;2068;;;;;;;;;;;;;537;;;313;;;;1085;;;;;;;;;;1549;15396;;;27115;;;;;;;;;132;;;;;;;;65;;;;;3337;;;;;;;;;;189;;;;1254;;;;;;;;;;;
Guinea-Bissau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;549;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;;1472;;;;;;;;;;;4813;;;;;;;;;;;;;;;;;;;;;;;;;;;;878;;;;;;;;;;;;;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802;;;;;;;;;;;;;;;;;;9265;;;863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;;;;;;;;;;;
Guyana;;;;;;;;13;;;;;;;11;;;223;;;;;;;;;;;1448;;;;;;;;;272;;;;;;780;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;;;;;;;;;;;;137;;;;;;;;;;;;;;;;;;;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;;260;;;;;;;;;;;;;;;;;;;;;3117;;;;;;;;;;;;591;;;;;;;;;390;;852;;;;;1424;;;;;;
Haiti;;;;;;;;;743;;;;272;;;;;;;;;;;;;;;;;;;;;;;;;1003;;;;;532;556;;;1322;;;;437;;;1921;;;;;;;;;3842;;;;;;;;;;;;710;;;;;;1431;;;;;;;;;;;;;;;;;;;;;;;;1959;;354;;;;;;;;;;;;;;;;;;;;;;;;;;;489;;;;;;;;;;;;;;;;;;;;;;;;;;;561;;;;2468;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2070;;;;;;;603;;;;;;;;;;;;;;;;;;;;2566;;458;;;4007;;;;;;
Holy See;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honduras;;;;;;;;;139;;;;;;;;;;;19;266;;;;108;;;;173;;;;;;;;;254;66;;;;226;434;;;631;;;;626;;;446;;;;46;;;;;99;335;;6439;;;;;;;;;105;;;;;;213;;;;;;;;3351;;;;32;;;;;;;;;;;66;190;20;101;30;;;;;;;;;;;;;;;;;;;;;;;;;;1140;;;;;;;;;;;;67;;;5649;;;;;;;;;290;;26;280;;;;94;;51;;;;19;;;;;;;;;;;;;;;;;;;;;;;383;;112;;;;23;45;;;;;;;;;;;;;;;;;;75;;4946;;49;;;73;;;;;;
Hungary;657;159;578;;;67;;;275;178;;793;6822;127;6;12;57;4;196;1364;1;22;1;;49;;326;5;427;;;1766;;;;63;169;1756;;7;1;;133;9317;;;167;;68;;27;20;1970;515;;233;1344;;22;307;;;30;94;653;11;;9;107;111;;;;589;3227;;;5;9;178;26297;105;;1115;;5;;;15;36;7;4;;;9;;109;933;182;1716;698;678;;1418;3222;25;1135;333;447;74;;147;111;38;119;290;5;28;269;6;122;116;27;;98;;18;31;;;4;43;;357;;5;1066;33;;158;18;7;7;;47;2276;;149;19;12;987;;;979;14;195;;22;1;17;184;210;3399;277;;28;1025;185;;180592;3791;15;;4;;;4;;;;273;21;20802;;25;70;;18638;348;;336;284;;1012;44;89;145;;;1289;1868;1045;15;602;121;;7;;;12;159;1793;;;;27;24540;152;4522;49;6147;;57;98;;162;2898;;;230;15;33
Iceland;4;30;24;;0;30;;;20;4;1;75;109;5;3;1;0;2;21;92;2;0;2;;12;;83;;67;;0;106;1;;40;3;3;216;;;;;68;335;;;110;;;;6;2;81;25;;4;122;;2;2637;1;2;13;20;22;6;2;2;81;47;320;;1;153;355;;;;6;12;1387;32;;18;53;;;;30;11;;17;4;;24;110;;213;93;27;32;68;;26;165;13;66;12;8;38;;2;1;;339;25;;0;1;;753;94;2;2;19;;1;3;;;;7;;54;;1;18;;;120;11;0;28;0;56;228;;43;4;0;46;;;921;;20;;4;1;3;56;1056;5895;358;1;2;16;7;;137;406;1;;;;;;;;;3;10;466;;12;13;;120;21;1;1;65;;224;134;;;0;;1716;111;17;4;822;21;;2;;1;3;14;49;1;;;14;118;2;918;16;1606;;7;4;;25;355;;;1;6;9
India;9140;;;;;;;;;;;750;;;;;3584076;;;;;;;7513;;;;;;;28695;;;;;;;1856;;;;;;8034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;194;;1291;;;;;;2427;;;;;;;;;;;;;;;;;;926;1928;564;;;;;;810;;2491;2691;;6872;;;;;;;;;;;;;14063;225;;;;;;335;;;;;;;;;;57177;;;613671;;;;;;730;;;;;1250307;;;;;;;;177;;;;;;;1524;;;;;;;;;;5060;;;;;4780;;;;;;;;;175411;;;;;;;;;;;;;;;;;119;;;;806;;13547;5500;;3077;;;;;;640;;;;768;
Indonesia;;;;;;;;;;;;5679;;;;;;;;;;;;;;;;;;;;;;;;;;983;;;;;;72094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6465;;;;;;;;;10237;6000;;;;;;;;;;;3161;;;;;;1837;;;;;;;;;;;;;;;;;;;;;3187;;;;;;;;;;4457;;;;;;2305;;;;;15679;;;;;;;;;;;;;;1858;;;;;10537;;;;;;;;;;;;;;;;1533;;10085;;78666;;;;;;;;;;;;;16969;;6654;;;;;;;;;;;
Iran (Islamic Republic of);2171005;;;;;;;;;718;;;;1124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98094;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1024;297;;;;;;;;;;;;;;;;;;;
Iraq;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14186;;;796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;229;;17396;;;;;;;;10208;;;;395;;;;1503;;;;;;;;;;;;;;;197;;;;;;;;;578;;;;;;;;;;;;;;;;673;;;;;;;;;;;;;;;269;;;;;;;;;;665;;;;;;;;;;409;;291;;;29507;3745;;;;;6119;;;;;;;;;308;17331;;;;;;284;;;;;;;;;;;;1976;;
Ireland;173;347;688;;3;561;2;3;382;62;8;5846;634;59;31;96;2413;22;714;1321;3;39;66;8;21;;749;93;7146;2;19;1642;11;56;5;13;405;4461;29;9;12;;165;10704;1610;;;0;2058;;13;155;591;96;;240;5096;153;60;807;2;2;12;46;622;31;0;45;2297;180;4;5;17;844;9213;;2;5;66;299;11805;588;45;505;2;17;;;145;59;2;34;5;;14;5545;45;13821;149;520;529;;;256;6259;139;618;131;302;563;0;235;37;39;16717;155;45;125;513;3;29282;123;14;88;3430;3;34;299;0;;9;1969;;356;0;8;371;0;2;319;46;76;44;;159;4163;8;2051;19;150;17533;;;356;57;6971;;19;15;31;148;11553;90158;1860;;40;225;2814;;13632;5108;93;8;3;8;0;3;15;0;;502;26;0;13;229;252;;9193;160;3;620;7504;;6314;278;79;688;14;25;1633;646;133;25;626;765;4;133;;2;131;117;572;5;2;;175;3627;235;207764;147;25210;;65;108;2;149;742;;2;36;397;2459
Isle of Man;;;;;;;;;;;;258;;;;;;;;;;;;;;;;;;;;;;;;;;167;;;;232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;485;;;;;;;;;;;;;;;;;;;;;;;;;;;36200;;223;;;;;;;;;;;
Israel;2610;;36950;;;;;;34777;;;2882;5525;13969;;;;;26567;5219;;;;;;;;;7919;;;17611;;;;;;7019;;;;;3134;747;;;2226;;;;;;;;;;;;;1625;;;;;21399;;;;;67189;;;;384;33850;;;;;14988;24742;;;2495;;;;;;;;;;;;13609;;18334;;50950;70291;;;;5035;;;;11179;;;;2037;;5829;5468;;;17977;;7185;;;;;;;;;;;;;2209;;;;;;161576;;;;;;4864;;;;;;;;;;;;;;;1840;;71802;;;;;16945;;112577;135827;;;;;;;;;;;;;;;;;;;;;10671;;2317;;;;;;856;3461;10017;2774;;;;;;;;29309;29236;1699;;;;146749;;19593;;68622;;5697;25379;;465;;;;32787;;
Italy;3384;360959;19139;;75;1807;;17;46708;768;;12537;13214;404;60;27;60160;36;17026;27739;20;1886;;36;8819;;18972;27;66536;;19;34041;8261;780;5598;807;7462;15908;;151;344;;8795;137633;;;27259;24;3336;;1009;18946;26910;22561;;423;8038;83;4059;2924;56;191;30028;55031;75904;8882;91;10504;887;17983;;;31;2519;90429;;;260;1078;6271;137808;40455;;13720;;12;;;1367;2587;525;53;466;106;1442;8970;217;89745;2193;11701;2693;2968;;3218;;260;7707;2982;2196;2345;8;325;703;220;1918;5617;19;1109;19794;85;3113;2713;1740;110;476;23;2339;1533;7;;531;10018;;6424;13;910;166;4170;;355367;586;303;64;2;985;11432;;665;806;614;41515;;;1478;46;54772;7;801;23;1607;81359;114522;80891;5830;;41;3913;86725;;570087;47776;705;;7;17;;13;68;2509;59;527;67115;61890;919;1098;388;;7134;4763;5;9198;3447;;25685;63528;382;1864;36;22;5224;110133;4728;108;6853;58767;62;3273;;19;125;91608;15053;125;;4;665;117957;195;48310;1195;40484;;5048;1835;13;28803;3637;;;245;517;516
Jamaica;;;;;;;;161;;;;;;;695;;;560;;;7;;;;;;;;;;;;;;;;;1378;;;;;;;;;;;;;104;;;1879;;;;;;;;144;;;;139;;;;;;;;;;;;;;;;;;;;216;;;318;;;;;;169;;;1183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;;;;;;;;;78;;;;;;;;;;;;;;;;101;344;;236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2413;;;;;;;;;4973;;6493;;;;;;;;;;;
Japan;;;;;;;;;3000;;;9202;537;;;;9597;;;657;;;;;;;;;217455;;;;;;;2531;;9427;;;;;;648120;;;;;;;;;;;;;;;;471;;;;;1503;;;;;;;;;565;8545;;;;;;5632;1776;;;;;;;;;;;;;;;;21219;23481;4566;;1001;;;2576;;;;;;;;;;;;;;;;;;;;7889;;;;;;;;;1845;;;;;;;;;;;;1037;;3065;;;2574;;;392;;9714;;;;;51532;198241;922;439;;;533836;;;;7370;;;;;;;;;;;;;;;2369;;;;;;;;1799;8580;;;;;1465;1027;;;38934;;;;;;;;;;;;;;;15133;;47789;;;;;;39408;;;;;
Jordan;72;;602;;;;;;;46;;438;204;;;745;17487;;;127;;;;;;;107;;186;;44;88;;;;;;572;;;46;;;16235;68;;44;;;;;;45;;;231;42;148;;88;;;;;188554;;;131;;134;;;;;693;;;;;;1255;48;;109;;;;;;;;;;;;1028;;8892;18257;166;268747;92;;2752;541;;181;;36;;;1318;;;;3221;;;1707;;;;;;497;;;;;;120;;;;;;;;;1048;;42;;;318;350;;112;;;46;;;76;1116;5704;;;;;;6736;143;;;392;166;64;;476;1045;;;;;;;;;;8823;;103;;;;;40;;;132;103;485;534;21878;1611803;3939;;;158;350;104791;;181;155;;;;;;455;1798;;;;;694;366;1417;;4587;;;;;55;;;;4173;;
