destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;596;;;;;;1378;56;;;;;;;;;;;;;;;;;;;;;7059;;;;;;;;;;;;;;;53;;;;;;;;18022;;;;42;;6375;;;292;;;;;;;;412;;;;;;;;;;42;;;;;;;;;;;;;;;;;;2764;;;;;;;;;;;;;;;;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;318;;2694;;;;;;;;;;;
Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6952;;;;;;;;489;;;;;;;;1335;;;9604;;;;;;;;;;;;;;;;;;;;;;;1256;;;;;;;7137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;902;;;;;;;;;;;;;;;;;;;;;;;52954;31171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33628;;;;;;;;;;;;;;;;;;;;;;;;;
Bermuda;;;;;;;;;;;;59;30;;;;;;;22;;;;;;;;;;;;;;;;;;2426;;;;;;258;;;;;;;;;;24;;;;;;32;;;17;;;;;;;;;;;;133;;;;;;240;85;;104;;;;;;;;86;1475;;;;;403;;;;98;;54;74;517;466;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;127;;;;;30;;;;;;299;31;1682;;;;;;23;;;;;;;;;;;;;;;;;;;;;;174;;119;;;;;;;122;;;;;;;;;57;;102;;98;;;;;4436;;3460;;;;;;;;;;;
Bhutan;;;;;;;;;;;;21;;;;;41;;;;;;;;;;;;;;;;;;;;;29;;;;;;714;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;24;;;;;;21;;;;;;;;;;;;;;;;;35256;;;;;;;10;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;565;16;;19;;;;;;;;17;;;;;;15;;;;;26;;;;;;;;;;;;;;;;;;;14;;;;;;;;;26;;;;;18;19;;;48;;;;;;;;;;;;;;;28;;107;;;;;;;;;;;
Bolivia (Plurinational State of);1;1;7;;0;5;;0;32418;3;3;175;152;2;0;1;20;0;4;346;850;1;1;;;17;5;;18453;;;19;;1;56;0;6;1430;;28;1;;4230;754;9;;1946;;6;;133;2;44;1018;138;2;34;6;2;90;;2;50;800;23;108;;1;5;3;;;1;39;880;2;;0;;2;1711;7;1;15;;1;;;132;5;;6;10;;198;30;3;106;12;45;7;63;1;168;1062;4;1461;14;11;11;;5;2;8;1;40;1;2;4;1;7;7;5;6;7;;1;3;;;1;;;8760;;0;1;1;;13;2;0;;;3;177;1;45;90;0;12;41;;42;1;25;;96;1;3462;9549;39;179;95;37;3;502;5;;31;142;1;;0;;0;;;;;9;4;9;0;1;4;39;14;8;1;2;8;;6059;4;6;1;1;;202;561;1;2;9;5;;2;;1;9;1;23;1;;;0;106;1;714;2;3935;;445;5;0;604;7;;;0;3;7
Bonaire, Sint Eustatius and Saba;;;;;;;569;1084;45;;3306;;;;148;;;480;;;;;;;;;;;;1862;;;;;;;;174;;;;;;78;197;;2658;;;;;;;2099;2400;;;;;;;107;8887;;;;;;;;;;;;196;6;;;;;;;;;;15;205;;;;;1316;3288;;;;;40;199;;;;;;79;1519;257;;;;;;;;;1056;;;;;;;;;;;;;;205;;;;34;;;;;;;;;;;;7224;;11;;;;;;7;;;;;;;;;;1030;77;;;;;;;;;576;2;;130;;;;;;;;;;300;;;;;;;49;;;;2456;;;;;;;;;;;;78;;;;;;;;;168;;1170;174;;;;1535;;;;;;
Bosnia and Herzegovina;;;;;;;;;;;;;188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17930;;;;;;;;;;;;;;;;;;;;;;152;;;;;;530;;;;;;;;;;;;;;;156;;;;;;;;;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;323;141;;;;;;;;;;;;14345;;;;;3961;2072;;;;;;;;;;;;;;;;2671;;;;;;;;;;;;;;;;;;;;;;;;;;;
Botswana;;;;;;1992;;;;;;225;;;;;;;;;;;;;;;;;;;;;;;;;;210;;;;;;2262;;;;;;;;;;;;;;;1903;200;;;;;;;;;;;;;;;;;;;;;653;;;;;;;;;;;;;;;;;5090;;;;364;;;317;;;;;395;;;;;;;1829;;;;;;359;2579;;;;;;;;1056;;;;;;;;;665;;1036;;;370;;;;;422;;;227;;374;;;;;;;;270;;;;;;;;;;;;;;;;;;;;147;;;;;;;;20917;;;1029;;;;391;254;;;;;;;;;;;;;;;;902;;;3600;1666;507;;;;;;;;;;7203;17752
Brazil;28;;91;;5;6418;;;28410;26;;519;2789;;7;13;22;13;4;1556;2;13;;;29671;;34;;;;70;261;12;10;592;13;69;1425;;5;;;16352;14884;;;5520;;39;;313;164;283;1715;;;806;71;48;474;;10;207;1463;3268;356;27;;90;5;;;;341;9004;667;;15;;31;17981;30;;2150;;13;;;225;28;468;1756;35;;131;2204;239;824;361;265;253;196;;1903;46336;98;60300;522;12;22;42;10;;2;70;14281;;;;;;;;;;;;;;;;;;1973;;;;;;;1385;;;;;3426;;;436;;;;;359;;215;;541;;34146;12958;;5504;176510;;;4251;;;2631;3974;;;;;;;;;;;;;;;;;;;;;;;37357;;;;253;;677;2976;2688;;;;;;;;;;530;;;;;;;4506;;18779;;24495;;;2524;;;;;;
British Virgin Islands;;;;;;;;600;;;;19;;;21;;;146;;;;;;;;;;;;;;;;;;;;187;;;;;;;;;;;;;;;;;;;;;;;;958;1157;;;;;;;;;;;;19;;;;;;46;;;;;;;;;;;1301;;;;;;31;;;;;;;;422;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;167;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;;2405;425;;1619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;;;;;;;;;680;;1042;;;;;;;;;;;
